"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","337","Stage 1: Setup via API (SO & Invoice), verify stock deduction @smoke","Sales","2026-05-18","failed","2026-05-18","Invoice Reversal Flow @regression","sales/sales-invoice-reversal.spec.ts","",""
"","338","Inventory Impact Verify @smoke","Sales","2026-05-18","failed","2026-05-18","Sales Impact Flow @regression","sales/sales-inventory-impact.spec.ts","",""
"","323","Create PO via UI, approve, create linked bill, verify in vendor profile","Purchases","2026-05-18","failed","2026-05-18","Purchase to Bill Flow @smoke","purchase/purchase-bill-ui-flow.spec.ts","",""
"","343","Validate TIN, create customer, edit, remove","Sales","2026-05-18","failed","2026-05-18","Customer Lifecycle — Validation & CRUD @smoke","sales/customer.spec.ts","",""
